Entity,Code,Year,Renewables (% equivalent primary energy),Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Electricity from wind (TWh),Electricity from hydro (TWh),Electricity from solar (TWh),Other renewables including bioenergy (TWh),Renewables (% electricity),Hydro (% equivalent primary energy),Hydro (% electricity),Wind Capacity,Wind (% equivalent primary energy),Wind (% electricity),Solar Capacity,Solar (% equivalent primary energy),Solar (% electricity),Biofuels Production - TWh - Total,Geothermal Capacity
France,FRA,2008,7.6322675,4.436,0.042,5.694,63.654,5.69,62.16,0.04,4.44,12.748745,5.803908,10.956201,3.403,0.5191732,1.0029083,0.08,0.0038295197,0.007050322,24.178932,0.0
France,FRA,2009,7.70645,4.578,0.174,7.912,56.994,7.91,55.49,0.17,4.58,12.877686,5.4697347,10.48544,4.582,0.7593175,1.4946806,0.277,0.016698845,0.032123353,27.055717,0.0
France,FRA,2010,8.220292,4.917,0.62,9.945,62.714,9.94,61.2,0.62,4.92,13.624007,5.8066397,10.87362,5.912,0.92079973,1.7660749,1.044,0.057405315,0.110157594,26.374874,0.0
France,FRA,2011,7.185518,5.48,2.078,12.052,44.791,12.37,45.74,2.33,5.58,11.6355295,4.288427,8.061332,6.758016,1.1538953,2.1801198,3.003574,0.19895405,0.41064504,26.244072,16.3
France,FRA,2012,9.137363,6.3471003,4.016,15.107985,58.78245,15.18,59.83,4.43,5.8100004,15.033152,5.5905185,10.550539,7.607496,1.4368485,2.6768708,4.358754,0.38194263,0.7811948,30.628035,15.3
France,FRA,2013,10.4594345,7.80987,4.735,16.054344,70.84405,16.13,71.92,5.19,6.18,17.246943,6.6261725,12.476364,8.155961,1.5015919,2.7981608,5.277289,0.44287318,0.90033823,28.553371,16.3
France,FRA,2014,10.459279,8.320374,5.913,17.250189,62.829517,17.32,63.77,6.39,6.5499997,16.6075,6.0971355,11.263003,9.201425,1.674002,3.059044,6.034418,0.57381254,1.1285964,28.88099,16.3
France,FRA,2015,10.147399,8.844254,7.2631626,21.350168,54.556957,21.42,55.56,7.75,7.11,16.002232,5.2318974,9.680792,10.29818,2.0474362,3.7322276,7.137517,0.696522,1.3503624,30.707294,16.3
France,FRA,2016,10.975246,9.635901,8.164943,21.307964,59.923428,21.38,60.84,8.66,8.12,17.721292,5.8102303,10.890539,11.566564,2.0660396,3.8270829,7.702081000000001,0.79168034,1.5501655,28.094324,15.51
France,FRA,2017,10.437264,10.333821,9.102625,24.54369,48.964455,24.61,50.0,9.59,8.43,16.657675,4.75486,8.991511,13.499357,2.3833985,4.425622,8.610437,0.8839415,1.724572,27.349375,15.9
France,FRA,2018,12.132495,10.550078,10.411551,28.53087,63.915768,28.6,65.11,10.92,8.99,19.731518,6.058622,11.307157,14.900146,2.7044618,4.9667435,9.672296,0.98691845,1.896393,31.01172,15.9
France,FRA,2019,12.384905,10.743961,11.747336,34.61536,56.027714,34.72,56.91,12.33,9.25,20.011667,5.405574,10.059748,16.456854,3.3397024,6.137312,10.807874,1.1333872,2.1795235,28.762793,15.9
France,FRA,2020,14.788747,10.668056,12.925406,39.74983,61.17179,39.86,62.59,13.46,9.37,23.761024,6.5299044,11.871029,17.484002,4.2431736,7.559981,12.022225,1.3797481,2.5528686,26.882746,16.0
France,FRA,2021,13.671011,11.1924715,14.605709,36.96734,57.966537,36.83,59.62,15.73,10.18,22.231913,5.8052735,10.832516,18.676002,3.7022312,6.6917405,14.709225,1.4627429,2.8580253,29.719494,
France,FRA,2022,,,,,,38.46,46.18,19.98,10.6,24.542046,,9.836414,,,8.192042,,,4.255772,,
Germany,DEU,1965,1.614503,0.0,0.0,0.0,16.21221,0.0,16.21221,0.0,0.0,,1.614503,,,0.0,,,0.0,,,
Germany,DEU,1966,1.7416129,0.0,0.0,0.0,17.533998,0.0,17.533998,0.0,0.0,,1.7416129,,,0.0,,,0.0,,,
Germany,DEU,1967,1.6582538,0.0,0.0,0.0,16.652311,0.0,16.652311,0.0,0.0,,1.6582538,,,0.0,,,0.0,,,
Germany,DEU,1968,1.5761398,0.0,0.0,0.0,16.89899,0.0,16.89899,0.0,0.0,,1.5761398,,,0.0,,,0.0,,,
Germany,DEU,1969,1.1857672,0.0,0.0,0.0,13.713478,0.0,13.713478,0.0,0.0,,1.1857672,,,0.0,,,0.0,,,
Germany,DEU,1970,1.5171292,0.92002016,0.0,0.0,17.533678,0.0,17.533678,0.0,0.92002016,,1.4357978,,,0.0,,,0.0,,,
Germany,DEU,1971,1.1796806,1.0010282,0.0,0.0,13.455188,0.0,13.455188,0.0,1.0010282,,1.0919782,,,0.0,,,0.0,,,
Germany,DEU,1972,1.1219959,1.0187488,0.0,0.0,13.205894,0.0,13.205894,0.0,1.0187488,,1.0357395,,,0.0,,,0.0,,,
Germany,DEU,1973,1.2137141,1.0531049,0.0,0.0,15.229462,0.0,15.229462,0.0,1.0531049,,1.1294044,,,0.0,,,0.0,,,
Germany,DEU,1974,1.4188614,1.07625,0.0,0.0,17.638132,0.0,17.638132,0.0,1.07625,,1.3311741,,,0.0,,,0.0,,,
Germany,DEU,1975,1.4353294,1.1247102,0.0,0.0,17.059124,0.0,17.059124,0.0,1.1247102,,1.3399583,,,0.0,,,0.0,,,
Germany,DEU,1976,1.1208524,1.2776853,0.0,0.0,13.846833,0.0,13.846833,0.0,1.2776853,,1.0193156,,,0.0,,,0.0,,,
Germany,DEU,1977,1.3967295,1.2465839,0.0,0.0,17.58216,0.0,17.58216,0.0,1.2465839,,1.2974242,,,0.0,,,0.0,,,
Germany,DEU,1978,1.408961,1.317466,0.0,0.0,18.362234,0.0,18.362234,0.0,1.317466,,1.3076738,,,0.0,,,0.0,,,
Germany,DEU,1979,1.3454018,1.4433178,0.0,0.0,18.383686,0.0,18.383686,0.0,1.4433178,,1.2402805,,,0.0,,,0.0,,,
Germany,DEU,1980,1.4781905,1.9662538,0.0,0.0,19.069143,0.0,19.069143,0.0,1.9662538,,1.3301288,,,0.0,,,0.0,,,
Germany,DEU,1981,1.5739785,1.8042376,0.0,0.0,19.914673,0.0,19.914673,0.0,1.8042376,,1.4337504,,,0.0,,,0.0,,,
Germany,DEU,1982,1.6178513,1.798813,0.0,0.0,19.737993,0.0,19.737993,0.0,1.798813,,1.4729381,,,0.0,,,0.0,,,
Germany,DEU,1983,1.4992614,1.5402381,0.0,0.0,18.712017,0.0,18.712017,0.0,1.5402381,,1.3769088,,,0.0,,,0.0,,,
Germany,DEU,1984,1.4371842,1.6429448,0.0,0.0,18.479174,0.0,18.479174,0.0,1.6429448,,1.3113233,,,0.0,,,0.0,,,
Germany,DEU,1985,1.3216147,1.6440297,0.0,0.0,17.40065,0.0,17.40065,0.0,1.6440297,3.6446776,1.1992912,3.3300512,,0.0,0.0,,0.0,0.0,,
Germany,DEU,1986,1.4105299,1.5955696,0.0,0.001,18.571981,0.001,18.571981,0.0,1.5955696,3.8522167,1.2907481,3.54727,,6.92049e-05,0.00019100118,,0.0,0.0,,
Germany,DEU,1987,1.5094993,1.4458493,0.0,0.002,20.34297,0.002,20.34297,0.0,1.4458493,4.0926185,1.4018048,3.820692,,0.00013787978,0.00037562777,,0.0,0.0,,
Germany,DEU,1988,1.5009333,1.6378818,0.0,0.008,20.079391,0.008,20.079391,0.0,1.6378818,3.9537015,1.3789544,3.6541736,,0.00054965063,0.0014558901,,0.0,0.0,,
Germany,DEU,1989,1.3991727,1.7492679,0.0,0.026,18.243729,0.026,18.243729,0.0,1.7492679,3.5756316,1.2662935,3.2585475,,0.0018046536,0.0046439106,,0.0,0.0,,
Germany,DEU,1990,1.33694,1.435,0.001,0.071,17.335,0.07,17.43,0.0,1.6,3.4929228,1.222604,3.1875205,,0.00500749,0.012801288,,7.022886e-05,0.0,0.0,0.0
Germany,DEU,1991,1.2709577,1.511,0.001,0.1,15.85,0.22,14.89,0.0,1.87,3.1689155,1.1457437,2.7788663,,0.007228666,0.041057795,,7.1979994e-05,0.0,0.0,
