cluster,countries,avg_renew_share,latest_renew_share,renew_share_growth,avg_wind_share,avg_solar_share,avg_hydro_share
0,1,50.236,78.947,4.103,34.436,1.477,0.059
1,8,19.605,25.9,0.66,3.431,1.523,12.093
