model,term,coef,std_err,p_value
baseline_linear,wind_cap,-0.015928900931584996,0.021891265011130607,0.4668356421739053
baseline_linear,solar_cap,-0.004067217498170638,0.036115217070437744,0.9103335460115476
quadratic,wind_cap,-0.023782278549740993,0.05362952060740471,0.6574366682242634
quadratic,solar_cap,-0.015737494310451985,0.07042860247136025,0.8231828284621554
quadratic,wind_cap_sq,5.804898310292107e-05,0.0004026779674137908,0.8853762298048311
quadratic,solar_cap_sq,1.113502140539794e-05,0.00035329151613148216,0.9748564838523399
interaction,wind_cap,-0.021873375574495767,0.02301651740577111,0.34194264484466164
interaction,solar_cap,-0.02286287327112951,0.06694323335433791,0.7327074263851057
interaction,wind_solar_interaction,9.22302750793682e-05,0.00019664975748667586,0.6390640427044588
