Year,actual,forecast,lower_ci,upper_ci
2015,65.43381,59.249638201085276,52.83360128474145,65.6656751174291
2016,60.1964,64.13134021416006,55.663585899952054,72.59909452836807
2017,70.25459,69.01304222723485,58.083197587455125,79.94288686701456
2018,68.346504,73.89474424030963,60.17336465479004,87.61612382582922
2019,78.17689,78.77644625338442,61.984128646437114,95.56876386033173
2020,81.622,83.65814826645921,63.54811772585623,103.76817880706218
2021,78.947365,88.539850279534,64.88810072965254,112.19159982941545
2022,83.962814,93.42155229260878,66.02095883666667,120.8221457485509
