,PC1,PC2
latest_log_gdp,0.2670169688280688,0.6894633112023087
mean_growth_pct,0.3733782074867574,-0.19830969209827656
growth_volatility,0.33429767335696803,-0.46344623721807593
pre_2000_growth,0.3562200941337017,-0.3364331295452796
post_2000_growth,0.3808299606529879,-0.0572291432960814
crisis_2008_growth,0.37743439400793916,-0.03586209608939214
covid_period_growth,0.364611794283301,0.258491409015463
growth_trend,0.36085041417983166,0.29319766330153935
