Country Name,order,train_end,test_start,test_end,mae_log_gdp,rmse_log_gdp,aic
China,"(2, 2, 1)",2019,2020,2025,0.10045735632360646,0.11098591436672732,-165.49637955675962
France,"(1, 1, 2)",2019,2020,2025,0.04505001035714855,0.05136971500340071,-321.8454368881259
Germany,"(2, 2, 1)",2019,2020,2025,0.05372278740972405,0.056110608931826594,-284.5852197025675
Italy,"(1, 1, 1)",2019,2020,2025,0.04151422379671601,0.05041284534724653,-283.5861138734427
Mexico,"(1, 1, 1)",2019,2020,2025,0.04725743171313468,0.056613364008302004,-226.39120692283774
United States,"(1, 1, 2)",2019,2020,2025,0.01694901025022517,0.022611069953344307,-290.8736479144059
