Country Name,latest_log_gdp,mean_growth_pct,growth_volatility,pre_2000_growth,post_2000_growth,crisis_2008_growth,covid_period_growth,growth_trend,cluster
China,30.54814839779989,7.920940589259269,6.631999563998946,7.746932522305301,8.192393173707455,9.536503271730446,5.455196268982598,0.04609671968564637,1
France,28.631785340419754,2.675654549944693,2.408403350116383,3.5060392767447004,1.3802543761366803,-1.222036877940219,-0.27921341750506423,-0.07574048209239657,2
Germany,28.933131916197112,2.2177811606469615,2.30452464462112,2.9252547579837986,1.114122348801495,-2.3283647282301034,-0.1110207962142673,-0.058489165822405986,2
Italy,28.340823819981626,2.2992827376537015,3.0651692727969704,3.408853235510452,0.5683527609971692,-3.1642429276548145,0.03131444292948071,-0.09218730779633459,2
Mexico,27.93114052308396,3.541602428444745,3.875672135252769,4.730515042189001,1.686898751003706,-2.675888547157906,-1.1526091055624073,-0.10015065300412873,2
United States,30.74757624464691,3.015676400435029,2.083516113439118,3.532529317735133,2.2093858494468663,-1.2315068792504769,1.9459559045494401,-0.03417098996444566,0
